qid,type,inj_num,orig_num,inj_survived,orig_restored,g1_det,g2_det,g3_det,any_gate,g1_false_positive,g2_false_positive,g3_false_positive,any_false_positive,suppressed_no_restore
FB_110_74F7847F,dollar_amount,1210.0,1500.0,False,True,True,True,False,True,False,False,False,False,False
FB_110_74F7847F,dollar_amount,730.0,900.0,False,True,True,True,False,True,False,False,False,False,False
FB_111_A4B199F5,dollar_amount,15037.0,24060.0,False,False,True,False,False,True,False,False,False,False,True
FB_111_A4B199F5,dollar_amount,19557.0,23198.0,False,False,True,False,False,True,False,False,False,False,True
FB_111_A4B199F5,dollar_amount,28477.0,23674.0,False,False,True,False,False,True,False,False,False,False,True
FB_112_2DC55A31,dollar_amount,41918.0,51000.0,False,False,True,True,False,True,False,False,False,False,True
FB_112_2DC55A31,dollar_amount,28845.0,48000.0,False,True,True,True,False,True,False,False,False,False,False
FB_113_30E7F266,large_number,17859.0,13500.0,False,False,False,False,False,False,False,False,False,False,False
FB_113_30E7F266,large_number,906.0,1200.0,False,False,False,False,False,False,False,False,False,False,False
FB_114_ACC06CE8,dollar_amount,2742.0,4052.0,False,False,True,True,True,True,False,False,False,False,True
FB_114_ACC06CE8,dollar_amount,3253.0,2474.0,True,True,False,False,False,False,False,False,False,False,False
FB_115_AE55E4C4,dollar_amount,9070.0,12199.0,False,True,True,False,False,True,False,False,False,False,False
FB_115_AE55E4C4,large_number,21769.0,32376.0,False,True,True,True,False,True,False,False,False,False,False
FB_115_AE55E4C4,percentage,47.3,37.7,False,True,True,True,False,True,False,False,False,False,False
FB_116_1C09CCA7,dollar_amount,5544.0,7883.0,False,True,True,False,False,True,False,False,False,False,False
FB_116_1C09CCA7,dollar_amount,9099.0,7477.0,False,False,True,False,False,True,False,False,False,False,True
FB_116_1C09CCA7,dollar_amount,4680.0,6704.0,False,True,True,False,False,True,False,False,False,False,False
FB_117_C880E731,dollar_amount,6037.0,5200.0,False,True,True,True,False,True,False,False,False,False,False
