hallucination_id,question_id,injection_type,trajectory_either,trajectory_judge,stage1_detected,stage4_detected,category,category_judge
FB_099_6BE111D5_H2,FB_099_6BE111D5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_099_6BE111D5_H1,FB_099_6BE111D5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_100_6814F36E_H2,FB_100_6814F36E,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_100_6814F36E_H1,FB_100_6814F36E,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_101_79109208_H2,FB_101_79109208,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_101_79109208_H1,FB_101_79109208,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_102_F5764A3D_H2,FB_102_F5764A3D,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_102_F5764A3D_H1,FB_102_F5764A3D,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(0))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_103_98E6E9E2_H2,FB_103_98E6E9E2,dollar_amount,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_103_98E6E9E2_H1,FB_103_98E6E9E2,dollar_amount,"(np.int64(1), np.int64(0), np.int64(1), np.int64(0))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_104_AE0FFD33_H3,FB_104_AE0FFD33,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_104_AE0FFD33_H2,FB_104_AE0FFD33,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_104_AE0FFD33_H1,FB_104_AE0FFD33,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_105_61DCE693_H3,FB_105_61DCE693,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Partial Decay
FB_105_61DCE693_H2,FB_105_61DCE693,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_105_61DCE693_H1,FB_105_61DCE693,percentage,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_106_EB0A9203_H2,FB_106_EB0A9203,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_107_B17259C6_H2,FB_107_B17259C6,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_107_B17259C6_H1,FB_107_B17259C6,dollar_amount,"(np.int64(1), np.int64(1), np.int64(0), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",1,1,Partially Detected (caught at end),Never Detected
FB_108_8E72B311_H2,FB_108_8E72B311,dollar_amount,"(np.int64(1), np.int64(0), np.int64(0), np.int64(0))","(np.int64(1), np.int64(0), np.int64(0), np.int64(0))",1,0,Full Decay (caught→missed),Full Decay (caught→missed)
FB_108_8E72B311_H1,FB_108_8E72B311,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_109_F3781DA6_H2,FB_109_F3781DA6,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(0), np.int64(1))",1,1,Always Detected,Late Detection
FB_109_F3781DA6_H1,FB_109_F3781DA6,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_110_74F7847F_H2,FB_110_74F7847F,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_110_74F7847F_H1,FB_110_74F7847F,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
FB_111_A4B199F5_H3,FB_111_A4B199F5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(1))",1,1,Always Detected,Late Detection
FB_111_A4B199F5_H2,FB_111_A4B199F5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(1))",1,1,Always Detected,Partially Detected (caught at end)
FB_111_A4B199F5_H1,FB_111_A4B199F5,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_112_2DC55A31_H2,FB_112_2DC55A31,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_112_2DC55A31_H1,FB_112_2DC55A31,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_113_30E7F266_H2,FB_113_30E7F266,large_number,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(1), np.int64(1))",1,1,Always Detected,Always Detected
FB_113_30E7F266_H1,FB_113_30E7F266,large_number,"(np.int64(0), np.int64(0), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",0,1,Late Detection,Late Detection
FB_114_ACC06CE8_H2,FB_114_ACC06CE8,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(1), np.int64(1))",1,1,Always Detected,Late Detection
FB_114_ACC06CE8_H1,FB_114_ACC06CE8,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(1), np.int64(1), np.int64(0), np.int64(0))",1,1,Always Detected,Full Decay (caught→missed)
FB_115_AE55E4C4_H3,FB_115_AE55E4C4,dollar_amount,"(np.int64(1), np.int64(1), np.int64(1), np.int64(1))","(np.int64(0), np.int64(0), np.int64(0), np.int64(0))",1,1,Always Detected,Never Detected
